Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la información facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
13/03/2023;Hombre;Italia;;En pareja;3 noches;;10;Familiares;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;9;10;10;10;Sí;7;10;10;;10;Otros (Indicar);8;10;45-64;;Ocio, recreo y vacaciones;10;10;8;10;PIT del Aeropuerto T-4;Avión;10;9
13/03/2023;Hombre;España;Barcelona;En familia;2 noches;;10;;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;8;10;10;10;Sí;8;NS/NC;NS/NC;;NS/NC;No ha buscado información;7;10;25-44;;Familia;10;10;8;10;PIT Cuesta de Moyano;Tren;10;8
13/03/2023;Hombre;Estados Unidos;;En pareja;3 noches;;9;;9;10;;Los ha encontrado en su recorrido;;10;10;10;10;8;9;9;9;9;Sí;6;NS/NC;9;;9;No ha buscado información;5;4;25-44;;Ocio, recreo y vacaciones;10;9;NS/NC;10;PIT del Paseo del Prado;Avión;10;NS/NC
13/03/2023;Mujer;Italia;;Con amigos;2 noches;;9;turismo;NS/NC;NS/NC;;Los ha encontrado en su recorrido;;10;NS/NC;10;10;9;NS/NC;9;NS/NC;9;Sí;NS/NC;8;9;;NS/NC;Internet/web (Indicar páginas);NS/NC;NS/NC;25-44;;Ocio, recreo y vacaciones;10;9;NS/NC;9;PIT Palacio Real;Avión;10;NS/NC
13/03/2023;Mujer;México;;En familia;1 noche;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;No ha buscado información;10;10;45-64;;Ocio, recreo y vacaciones;10;10;10;10;;Avión;10;10
13/03/2023;Mujer;Suiza;;En pareja;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;9;9;10;;10;No ha buscado información;6;10;25-44;;Ocio, recreo y vacaciones;10;10;9;10;PIT de Callao;Avión;10;9
13/03/2023;Mujer;Argentina;;En pareja;2 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;;Ocio, recreo y vacaciones;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;10
13/03/2023;Mujer;Argentina;;En pareja;De 4 a 7 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;9;10;10;Sí;9;9;9;;9;No ha buscado información;5;10;25-44;;Ocio, recreo y vacaciones;10;9;9;10;PIT de Callao;Avión;10;6
13/03/2023;Mujer;España;Santa Cruz de Tenerife;Con amigos;3 noches;;9;;9;9;;Los ha encontrado en su recorrido;;9;9;9;9;9;9;NS/NC;9;9;Sí;NS/NC;NS/NC;6;;9;No ha buscado información;6;4;45-64;;Ocio, recreo y vacaciones;9;5;NS/NC;9;PIT del Paseo del Prado;Avión;9;NS/NC
13/03/2023;Hombre;España;Murcia;En pareja;3 noches;;10;;10;10;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;9;10;10;Sí;9;9;10;;10;No ha buscado información;7;10;+65;;Ocio, recreo y vacaciones;10;10;9;10;PIT de Callao;Tren;10;9
13/03/2023;Mujer;Italia;;En familia;De 4 a 7 noches;;9;;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;10;10;9;8;10;10;10;Sí;NS/NC;9;10;;10;No ha buscado información;7;8;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT del Paseo del Prado;Avión;10;8
13/03/2023;Mujer;Italia;;En familia;3 noches;;10;blogs;10;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;8;10;10;Sí;NS/NC;NS/NC;10;;10;Internet/web (Indicar páginas);7;7;25-44;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT Cuesta de Moyano;Avión;10;8
13/03/2023;Mujer;Colombia;;En familia;De 4 a 7 noches;;10;esmadrid.com;8;NS/NC;;Los ha encontrado en su recorrido;;10;10;10;10;10;10;10;9;10;Sí;NS/NC;NS/NC;9;;7;Guías turísticas publicadas sobre la ciudad;4;6;45-64;;Ocio, recreo y vacaciones;10;10;NS/NC;10;PIT de Atocha;Avión;10;6
13/03/2023;Hombre;Portugal;;En pareja;De 4 a 7 noches;;8;;10;10;;Los ha encontrado en su recorrido;;10;10;9;9;9;8;9;8;9;Sí;9;9;7;;9;No ha buscado información;8;5;45-64;;Ocio, recreo y vacaciones;9;8;7;9;Centro de Turismo de la Plaza Mayor;Avión;10;8
13/03/2023;Hombre;Francia;;En pareja;3 noches;;9;;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;9;9;9;9;9;8;9;Sí;8;NS/NC;6;;9;Guías turísticas publicadas sobre la ciudad;7;3;+65;;Ocio, recreo y vacaciones;9;6;8;9;PIT del Paseo del Prado;Avión;9;8
